annee;date;arbre;cultivar;nbfruit;masse
2010;19/11/2010;B9;Caro;1;176
2010;06/12/2010;B9;Caro;1;240
2010;13/12/2010;B9;Caro;3;607,2
2010;21/12/2010;B9;Caro;9;2724
2010;23/12/2010;B9;Caro;2;673,9
2010;27/12/2010;B9;Caro;4;1343,2
2010;30/12/2010;B9;Caro;4;1208,4
2010;07/01/2011;B9;Caro;8;2398,2
2010;21/01/2011;B9;Caro;1;260,4
2010;15/02/2011;B9;Caro;1;476,2
2010;29/11/2010;C12;Caro;2;508
2010;06/12/2010;C12;Caro;4;1104,5
2010;09/12/2010;C12;Caro;5;1497,3
2010;13/12/2010;C12;Caro;9;2015,9
2010;16/12/2010;C12;Caro;1;260,8
2010;23/12/2010;C12;Caro;12;2987,3
2010;23/12/2010;C12;Caro;5;1226,6
2010;27/12/2010;C12;Caro;17;4820,7
2010;30/12/2010;C12;Caro;17;4216,2
2010;04/01/2011;C12;Caro;4;1050,1
2010;11/01/2011;C12;Caro;3;668,5
2010;14/01/2011;C12;Caro;2;591,9
2010;04/04/2011;C12;Caro;1;530
2010;11/04/2011;C12;Caro;2;1116
2010;23/11/2010;C2;Caro;1;344
2010;09/12/2010;C2;Caro;2;316,8
2010;16/01/2011;C2;Caro;1;202,1
2010;23/12/2010;C2;Caro;1;354
2010;27/12/2010;C2;Caro;3;1001,9
2010;30/12/2010;C2;Caro;1;331,3
2010;04/01/2011;C2;Caro;3;579,2
2010;11/01/2011;C2;Caro;1;325,8
2010;25/02/2011;C2;Caro;1;513,5
2010;27/04/2011;C2;Caro;1;490
2010;03/05/2011;C2;Caro;1;693
2010;12/05/2011;C2;Caro;1;611
2010;23/11/2010;D16;Caro;1;315
2010;03/12/2010;D16;Caro;2;456
2010;06/12/2010;D16;Caro;2;454,1
2010;09/12/2010;D16;Caro;7;2011,3
2010;13/12/2010;D16;Caro;12;2987,8
2010;16/12/2010;D16;Caro;11;2905,6
2010;21/12/2010;D16;Caro;34;8413,9
2010;27/12/2010;D16;Caro;26;6866,8
2010;30/12/2010;D16;Caro;14;3461,5
2010;04/01/2011;D16;Caro;2;517
2010;02/12/2010;D2;Caro;1;209
2010;06/12/2010;D2;Caro;6;1480
2010;13/12/2010;D2;Caro;12;2974,8
2010;16/12/2010;D2;Caro;6;1865,9
2010;21/12/2010;D2;Caro;13;3996,9
2010;23/12/2010;D2;Caro;2;533,4
2010;27/12/2010;D2;Caro;8;2259,5
2010;30/12/2010;D2;Caro;7;2070,9
2010;04/01/2011;D2;Caro;3;908
2010;07/01/2011;D2;Caro;2;543,7
2010;11/01/2011;D2;Caro;1;265,1
2010;20/04/2011;D2;Caro;1;547
2010;27/04/2011;D2;Caro;2;1024
2010;03/05/2011;D2;Caro;1;896
2010;09/12/2010;E5;Caro;2;407,5
2010;13/12/2010;E5;Caro;1;263,8
2010;23/12/2010;E5;Caro;2;724,3
2010;30/12/2010;E5;Caro;2;804
2010;07/01/2011;E5;Caro;1;428,4
2010;11/01/2011;E5;Caro;1;269,1
2010;04/03/2011;E5;Caro;1;309
2010;23/11/2010;E9;Caro;2;304
2010;29/11/2010;E9;Caro;5;897
2010;13/12/2010;E9;Caro;6;1829,2
2010;16/12/2010;E9;Caro;3;826
2010;21/12/2010;E9;Caro;12;3510,5
2010;27/12/2010;E9;Caro;1;342,4
2010;07/01/2011;E9;Caro;1;408,4
2010;07/02/2011;E9;Caro;1;491,4
2010;18/02/2011;E9;Caro;1;250
2010;25/02/2011;E9;Caro;1;343,6
