annee	date	arbre	cultivar	nbfruit	masse
2013	NA	E5	caro	0	0
2014	NA	G8	cogshall	0	0
2014	NA	I7	kent	0	0
2015	NA	B12	heidi	0	0
2015	NA	B5	sensation	0	0
2015	NA	B9	caro	0	0
2015	NA	C11	heidi	0	0
2015	NA	D12	sensation	0	0
2015	NA	D13	heidi	0	0
2015	NA	D2	caro	0	0
2015	NA	E13	heidi	0	0
2015	NA	E9	caro	0	0
2015	NA	F10	sensation	0	0
2015	NA	F4	caro	0	0
2015	NA	F5	sensation	0	0
2015	NA	F6	irwin	0	0
2015	NA	G16	heidi	0	0
2015	NA	G6	heidi	0	0
2015	NA	H12	sensation	0	0
2015	NA	H4	sensation	0	0
2015	NA	H9	sensation	0	0
2015	NA	J11	heidi	0	0
2015	NA	J2	caro	0	0
2016	NA	F13	nam doc mai	0	0
2016	NA	F8	nam doc mai	0	0
2010	14/01/2011	B10	irwin	1	298,2
2010	18/02/2011	B10	irwin	1	345
2010	25/02/2011	B10	irwin	1	550,8
2010	03/12/2010	B11	irwin	1	172
2010	07/02/2011	B11	irwin	1	349,7
2010	25/01/2011	B12	heidi	1	435,1
2010	10/02/2011	B12	heidi	1	431,6
2010	06/12/2010	B13	josé	1	200
2010	18/01/2011	B13	josé	1	228,4
2010	01/03/2011	B13	josé	1	218,7
2010	04/03/2011	B13	josé	1	198,8
2010	04/01/2011	B14	sensation	1	219
2010	03/02/2011	B15	cogshall	1	519
2010	14/04/2011	B16	josé	1	220
2010	08/03/2011	B2	tommy atkins	1	793,6
2010	13/12/2010	B3	cogshall	1	365,1
2010	01/03/2011	B3	cogshall	1	191,8
2010	27/12/2010	B5	sensation	1	217,2
2010	28/03/2011	B5	sensation	1	315
2010	16/12/2010	B6	cogshall	1	357,6
2010	23/12/2010	B6	cogshall	1	384,1
2010	18/01/2011	B7	kensington pride	1	432
2010	31/01/2011	B7	kensington pride	1	477
2010	03/02/2011	B7	kensington pride	1	354,2
2010	30/12/2010	B8	kent	1	449,2
2010	07/01/2011	B8	kent	1	318,7
2010	03/02/2011	B8	kent	1	764
2010	18/02/2011	B8	kent	1	860
2010	25/02/2011	B8	kent	1	795,5
2010	17/03/2011	B8	kent	1	894,3
2010	19/11/2010	B9	caro	1	176
2010	06/12/2010	B9	caro	1	240
2010	21/01/2011	B9	caro	1	260,4
2010	15/02/2011	B9	caro	1	476,2
2010	23/12/2010	C10	tommy atkins	1	430,1
2010	07/01/2011	C10	tommy atkins	1	297
2010	18/02/2011	C10	tommy atkins	1	585
2010	25/02/2011	C10	tommy atkins	1	770,8
2010	30/12/2010	C11	heidi	1	355,6
2010	04/01/2011	C11	heidi	1	333,7
2010	11/01/2011	C11	heidi	1	316,1
2010	17/03/2011	C11	heidi	1	637
2010	16/12/2010	C12	caro	1	260,8
2010	04/04/2011	C12	caro	1	530
2010	09/12/2010	C13	josé	1	349
2010	30/12/2010	C13	josé	1	247,7
2010	11/01/2011	C14	josé	1	158,7
2010	01/03/2011	C14	josé	1	198,3
2010	18/01/2011	C15	irwin	1	251,1
2010	07/02/2011	C15	irwin	1	450,6
2010	23/12/2010	C16	cogshall	1	140,5
2010	22/02/2011	C16	cogshall	1	554,3
2010	23/11/2010	C2	caro	1	344
2010	16/01/2011	C2	caro	1	202,1
2010	23/12/2010	C2	caro	1	354
2010	30/12/2010	C2	caro	1	331,3
2010	11/01/2011	C2	caro	1	325,8
2010	25/02/2011	C2	caro	1	513,5
2010	27/04/2011	C2	caro	1	490
2010	03/05/2011	C2	caro	1	693
2010	12/05/2011	C2	caro	1	611
2010	31/01/2011	C3	irwin	1	348
2010	07/02/2011	C3	irwin	1	316,5
2010	08/03/2011	C4	irwin	1	194,7
2010	18/01/2011	C5	kensington pride	1	450
2010	07/02/2011	C5	kensington pride	1	269,3
2010	06/12/2010	C6	kent	1	329,8
2010	30/12/2010	C6	kent	1	443,9
2010	07/01/2011	C6	kent	1	429,9
2010	18/02/2011	C6	kent	1	945
2010	25/02/2011	C6	kent	1	444,9
2010	11/03/2011	C6	kent	1	1203,4
2010	21/03/2011	C6	kent	1	690
2010	31/03/2011	C6	kent	1	910
2010	07/01/2011	C8	sensation	1	220,8
2010	27/12/2010	C9	nam doc mai	1	272,6
2010	11/01/2011	C9	nam doc mai	1	324
2010	10/02/2011	C9	nam doc mai	1	271,5
2010	22/02/2011	C9	nam doc mai	1	238,3
2010	08/03/2011	C9	nam doc mai	1	317,3
2010	03/12/2010	D10	josé	1	117
2010	09/12/2010	D10	josé	1	182,1
2010	25/02/2011	D10	josé	1	211,6
2010	28/03/2011	D10	josé	1	250
2010	04/04/2011	D10	josé	1	185
2010	31/01/2011	D11	irwin	1	399
