annee;date;arbre;cultivar;bloc;taille;nbfruit;masse
2007/2008;26/11/2007;A1;cogshall;bloc1;bordure;1;184
2007/2008;30/11/2007;A1;cogshall;bloc1;bordure;1;234
2007/2008;07/12/2007;A1;cogshall;bloc1;bordure;7;1838
2007/2008;10/12/2007;A1;cogshall;bloc1;bordure;5;1510
2007/2008;13/12/2007;A1;cogshall;bloc1;bordure;14;3798
2007/2008;17/12/2007;A1;cogshall;bloc1;bordure;6;1870
2007/2008;21/02/2007;A1;cogshall;bloc1;bordure;6;1936
2007/2008;26/12/2007;A1;cogshall;bloc1;bordure;15;5400
2007/2008;02/01/2008;A1;cogshall;bloc1;bordure;6;2192
2007/2008;07/01/2008;A1;cogshall;bloc1;bordure;6;2466
2007/2008;10/01/2008;A1;cogshall;bloc1;bordure;3;1268,2
2007/2008;15/01/2008;A1;cogshall;bloc1;bordure;3;1071,4
2007/2008;26/11/2007;A10;cogshall;bloc1;taille07;1;267
2007/2008;30/11/2007;A10;cogshall;bloc1;taille07;1;295,5
2007/2008;07/12/2007;A10;cogshall;bloc1;taille07;2;515
2007/2008;17/12/2007;A10;cogshall;bloc1;taille07;3;529
2007/2008;21/12/2007;A10;cogshall;bloc1;taille07;6;1507
2007/2008;26/12/2007;A10;cogshall;bloc1;taille07;9;3000
2007/2008;28/12/2007;A10;cogshall;bloc1;taille07;6;2328
2007/2008;02/01/2008;A10;cogshall;bloc1;taille07;6;2280
2007/2008;07/01/2008;A10;cogshall;bloc1;taille07;10;4108
2007/2008;10/01/2008;A10;cogshall;bloc1;taille07;4;1763
2007/2008;15/01/2008;A10;cogshall;bloc1;taille07;5;2311
2007/2008;17/01/2008;A10;cogshall;bloc1;taille07;8;3529
2007/2008;21/01/2008;A10;cogshall;bloc1;taille07;4;1227
2007/2008;26/11/2007;A11;cogshall;bloc1;taille07;1;229
2007/2008;30/11/2007;A11;cogshall;bloc1;taille07;3;808,2
2007/2008;07/12/2007;A11;cogshall;bloc1;taille07;6;1577
2007/2008;10/12/2007;A11;cogshall;bloc1;taille07;4;991,8
2007/2008;13/12/2007;A11;cogshall;bloc1;taille07;1;287
2007/2008;17/12/2007;A11;cogshall;bloc1;taille07;5;1539
2007/2008;21/12/2007;A11;cogshall;bloc1;taille07;4;1126
2007/2008;26/12/2007;A11;cogshall;bloc1;taille07;21;7400
2007/2008;28/12/2007;A11;cogshall;bloc1;taille07;4;1731
2007/2008;02/01/2008;A11;cogshall;bloc1;taille07;2;646
2007/2008;07/01/2008;A11;cogshall;bloc1;taille07;3;1276
2007/2008;07/01/2007;A12;cogshall;bloc1;taille02;3;1258
2007/2008;30/11/2007;A12;cogshall;bloc1;taille02;2;548
2007/2008;07/12/2007;A12;cogshall;bloc1;taille02;3;879
2007/2008;10/12/2007;A12;cogshall;bloc1;taille02;7;2206,1
